,Contact Persons,Source,business_status,formatted_address,name,opening_hours,lat,lng
31,Rodrigo Resende,https://smoothcomp.com/en/club/7823,CLOSED_TEMPORARILY,"21 Algarve Crescent, Toronto, ON M6N 5E7, Canada",Rodrigo school,,43.6787412,-79.46601009999999
32,,https://smoothcomp.com/en/club/7807,OPERATIONAL,"99 Padmore Ave E, Penticton, BC V2A 7H7, Canada",Pacific Top Team Penticton,{'open_now': False},49.49609299999999,-119.590177
33,Chris Merten,https://smoothcomp.com/en/club/7722,OPERATIONAL,"2650 36 St SE #11, Calgary, AB T2B 0Y3, Canada",Anderson Goncalves BJJ (Calgary),{'open_now': False},51.0307039,-113.9810751
34,,https://smoothcomp.com/en/club/10123,OPERATIONAL,"2485 Bd Sainte-Anne #202, Québec, QC G1J 1Y4, Canada",Novagym,{'open_now': False},46.8447748,-71.2178971
35,Fabiano Freitas,https://smoothcomp.com/en/club/13660,OPERATIONAL,"100 Bridgeland Ave, North York, ON M6A 1Z4, Canada",Gracie Barra Brazilian Jiu-Jitsu,{'open_now': False},43.726352,-79.4619522
36,James Haourt,https://smoothcomp.com/en/club/14273,OPERATIONAL,"4056 Meadowbrook Dr Unit 109, London, ON N6E 2Z8, Canada",Progression BJJ - Brazilian Jiu-Jitsu,{'open_now': False},42.9204161,-81.2656903
37,Ryan McGillivray,https://smoothcomp.com/en/club/7765,OPERATIONAL,"1712 Hyde Park Rd Unit 103, London, ON N6H 5L7, Canada",Gracie Barra London,{'open_now': False},43.0014394,-81.33468049999999
38,Emerson Lopes Junior,https://smoothcomp.com/en/club/42012,OPERATIONAL,"1908 Sharpe's Ln Room #103, Brockville, ON K6V 5T1, Canada",Lopes Brazilian Jiu-Jitsu,{'open_now': False},44.6121947,-75.6532103
39,TRI NGUYEN,https://smoothcomp.com/en/club/6246,OPERATIONAL,"275 Sherbrooke St W, Montreal, Quebec H2X 1Y1, Canada",Carlson Gracie Team Montreal,{'open_now': False},45.508823,-73.571212
40,Randy Chung,https://smoothcomp.com/en/club/7786,OPERATIONAL,"4127 6 St NE, Calgary, AB T2E 6V5, Canada",The Kodokan Jiu-jitsu Club,{'open_now': False},51.0893496,-114.0486466
41,Dylan Tooke,https://smoothcomp.com/en/club/8367,OPERATIONAL,"1444 Glenora Dr, London, ON N5X 1V2, Canada",Modern Martial Arts Academy,{'open_now': False},43.035817,-81.23579149999999
42,Joe Pilmer,https://smoothcomp.com/en/club/7196,OPERATIONAL,"55 Bentley St, Saint John, NB E2K 1B2, Canada",MXT Fight Academy,{'open_now': False},45.2688431,-66.079644
43,,https://smoothcomp.com/en/club/7810,OPERATIONAL,"3105 28 St, Vernon, BC V1T 4Z7, Canada",Pacific Top Team Vernon Brazilian Jiu-Jitsu and MMA,{'open_now': False},50.2652064,-119.2674775
44,Amy Pon,https://smoothcomp.com/en/club/13390,OPERATIONAL,"Hamilton, ON, Canada",Strathcona Loop,,43.263975,-79.884177
45,Samuel Bergeron,https://smoothcomp.com/en/club/9930,,,,,,
46,,https://smoothcomp.com/en/club/7783,OPERATIONAL,"8556 120 St #111, Surrey, BC V3W 3N5, Canada",Kaboom Brazilian Jiu-Jitsu,{'open_now': False},49.1578942,-122.8898493
47,Lisa Baxter,https://smoothcomp.com/en/club/7361,OPERATIONAL,"36 Inglis Pl, Truro, NS B2N 4B4, Canada",Marmac Athletics,,45.3639719,-63.27643690000001
48,Eduardo Jovel,https://smoothcomp.com/en/club/9309,OPERATIONAL,"#138, 1959 152 St, Surrey, BC V4A 9E3, Canada",Gracie Barra White Rock Brazilian Jiu Jitsu & Self Defense,{'open_now': False},49.0382587,-122.8018007
49,Rodrigo Goncales,https://smoothcomp.com/en/club/4214,OPERATIONAL,"295 College St Level B, Toronto, ON M5T 1S2, Canada",OpenMat MMA,{'open_now': False},43.65757079999999,-79.4013045
50,Carlos Costa Da Cunha,https://smoothcomp.com/en/club/6713,OPERATIONAL,"Kitchener, ON N2G 2T6, Canada",Canadian Martial Arts Centre,,43.4445929,-80.49041419999999
