,Name,Location,Contact Persons,Source
66,BibianoFernandesAcademy,Canada,Jordan McKay,https://smoothcomp.com/en/club/7733
67,KamikazePunishment,Canada,Cody Ries,https://smoothcomp.com/en/club/7784
68,TrilliumMMA,"770 Birchmount Rd #27, Scarborough, ON M1K 1R7,",Jim Tran,https://smoothcomp.com/en/club/38105
69,JudoBlainville,Canada,,https://smoothcomp.com/en/club/22022
70,BrigadaBJJ,"1963 Ontario street east,",Nikolai Smith,https://smoothcomp.com/en/club/15952
71,10thPlanetHQ,Canada,Jesse Veltri,https://smoothcomp.com/en/club/6826
72,BLACKXICANSJIUJITSU,"AVENIDA PEDRO LOYOLA 462 INT 3 COLONIA CARLOS PACHECO ENSENADA , BAJA CALIFORNIA,",,https://smoothcomp.com/en/club/49010
73,PictouCountyJiu-Jitsu,Canada,Alex Macdonald,https://smoothcomp.com/en/club/11360
74,ZombieProof,Canada,,https://smoothcomp.com/en/club/3385
75,None,Canada,Jason Thibert,https://smoothcomp.com/en/club/6902
76,CompleteFitnessMartialArts,Canada,,https://smoothcomp.com/en/club/7751
77,Seikidokan,Canada,,https://smoothcomp.com/en/club/22070
78,DiazCombatSports,"747 Gore Ave, Vancouver, BC V6A 2Z9 Canada,",Diaz Sports,https://smoothcomp.com/en/club/17093
79,titansmma,Canada,,https://smoothcomp.com/en/club/4236
80,Scheer's,Canada,Damyen Reid,https://smoothcomp.com/en/club/7511
81,WestcoastBJJ,Canada,,https://smoothcomp.com/en/club/7846
82,Westislandjiu-jitsu,Canada,,https://smoothcomp.com/en/club/10130
83,EBOMartialArts,"10 Rue Belmont, Aylmer-Quebec, Canada J9H 6J5,",Santiago Estevez,https://smoothcomp.com/en/club/39771
84,GracieHumaitaWoodbridge,"7500 ON-27 Unit 25,",Dave Isaacs,https://smoothcomp.com/en/club/31265
85,SouthernIndianaMartialArts,"2107 CORYDON PIKE (Warehouse B),",Jeffrey Baugh,https://smoothcomp.com/en/club/19055
86,ArashiDoBEHRING,Canada,Kevin Deamond,https://smoothcomp.com/en/club/7725
87,KomodoAcademy,Canada,Gage Garand,https://smoothcomp.com/en/club/8103
88,RDCBJJ,Canada,,https://smoothcomp.com/en/club/7818
89,SAMPABJJ,Canada,SIMON POIRIER,https://smoothcomp.com/en/club/6249
90,H2OMMA,Canada,,https://smoothcomp.com/en/club/9936
91,AcademixAcademy,"1267 Garrison Road, Fort Erie Ontario,",Dave Shaw,https://smoothcomp.com/en/club/13186
92,GravityBJJ,Canada,Clayton Bundschuh,https://smoothcomp.com/en/club/7774
93,AegisMMA,"2304 Lakeshore Rd W, Oakville, ON L6L 1H3,",,https://smoothcomp.com/en/club/37093
94,GracieWoodbridge,"7500 ON-27 #25, Woodbridge, ON L4H 0J2,",,https://smoothcomp.com/en/club/37243
95,TrueNorthJiu-Jitsu,Canada,,https://smoothcomp.com/en/club/8603
96,NorfolkJiuJitsu,"26 North Main St. Simcoe Ontario,",Liam Twinem,https://smoothcomp.com/en/club/49444
97,LegendsTrainingCentre,Canada,,https://smoothcomp.com/en/club/8192
98,ExperienceMMA,Canada,Danny Fung,https://smoothcomp.com/en/club/9920
99,TitanMMA(coquitlam),Canada,Tylor Nicholson,https://smoothcomp.com/en/club/8511
100,BoaJiuJitsuClub,Canada,,https://smoothcomp.com/en/club/7352
101,AjaxBudokanJudoClub,Canada,,https://smoothcomp.com/en/club/22067
102,GrizzlyGym,"550 Cataraqui Woods Drive, Kingston, Ontario,",Mike Martelle,https://smoothcomp.com/en/club/15257
103,ARESBJJMEX,"EJERCITO NACIONAL 1472 FRACC. LA PRADERA,",VICTOR RODRIGUEZ,https://smoothcomp.com/en/club/31337
104,BacktotheMatBJJ,Canada,Allan Clarke,https://smoothcomp.com/en/club/8016
105,SudburyBJJ,Canada,Steve Joncas,https://smoothcomp.com/en/club/37387
106,BudoMartialArts-Burnaby,Canada,Scott Boudreau,https://smoothcomp.com/en/club/7740
107,etobicokebjj,"2918 Lake Shore Blvd W, Etobicoke, ON M8V 1J4,",Alex Perez,https://smoothcomp.com/en/club/46957
108,DraganBJJ(Alliance),Canada,,https://smoothcomp.com/en/club/12008
109,TheVault,Canada,James Simon,https://smoothcomp.com/en/club/7522
110,AirdrieMartialArtsCentre,Canada,,https://smoothcomp.com/en/club/7718
111,GracieBarraWhistler,Canada,,https://smoothcomp.com/en/club/7771
112,InfinityMixedMartialArts,Canada,,https://smoothcomp.com/en/club/7779
113,TeamRenzoGracie,Canada,Kailyn Fewer,https://smoothcomp.com/en/club/7406
114,MambaMMA,Canada,,https://smoothcomp.com/en/club/10367
115,UniversalMMA,Canada,,https://smoothcomp.com/en/club/7842
116,GracieBarraWestIsland,Canada,,https://smoothcomp.com/en/club/9931
117,TeamDNABJJ,"2001 Thickson Rd S, Whitby, ON L1N 6J3,",Landon Clements,https://smoothcomp.com/en/club/38901
118,PatenaudeMartialArts,Canada,Peter Lahaie,https://smoothcomp.com/en/club/21749
119,WAMMA-Brandon,Canada,Erin Chartrand,https://smoothcomp.com/en/club/6838
120,Métropolitain,Canada,,https://smoothcomp.com/en/club/22034
121,MMAUniversity,Canada,Nate Hogarth,https://smoothcomp.com/en/club/7794
122,BarrieBrazilianJiuJitsu,"142 Commerce Park Dr. Barrie Ontario,",Sue Carrique,https://smoothcomp.com/en/club/31620
